profile_text,career_label,source,label_encoded,text_stripped,profile_text_clean
"Engineering professional skilled in system design, redshift, dynamodb, restful, lambda, ci/cd, java, etl. Targeting a role in Full Stack Web Development. Focus area: Java Fullstack Developer-Aws Chicago Il - 6 Months With Ext - Hybrid Role Only Local Profiles.",FULLSTACK_DEV,postings,6,"Engineering professional skilled in system design, redshift, dynamodb, restful, lambda, ci/cd, java, etl","Engineering student with skills in system design, dynamodb, redshift, ci/cd, java."
"Engineering professional skilled in information security, cybersecurity, aws. Targeting a role in Cybersecurity and Information Security. Focus area: Penetration Tester.",CYBERSECURITY,postings,1,"Engineering professional skilled in information security, cybersecurity, aws","Engineering student with skills in information security, cybersecurity, aws."
Engineering professional skilled in iot. Targeting a role in Embedded Systems and IoT. Focus area: Senior Controls Automation Engineer.,EMBEDDED_IOT,postings,5,Engineering professional skilled in iot,Engineering student. Engineering professional skilled in iot
Engineering graduate in Science and Technology with CGPA 6.5 out of 10. Specialised in Marketing and Human Resources. Has prior work experience. Targeting Product Management and Strategy roles.,PRODUCT_MANAGER,placement,7,Engineering graduate in Science and Technology with CGPA 6.5 out of 10. Specialised in Marketing and Human Resources. Has prior work experience. Targeting Product Management and Strategy roles,Engineering student with experience in product management. CGPA 6.5.
Engineering professional skilled in excel. Targeting a role in Data Engineering and Pipelines. Focus area: Martech Expert Solutions Architect Customer Data Platforms.,DATA_ENGINEER,postings,3,Engineering professional skilled in excel,Engineering student with experience in excel.
"Engineering professional skilled in product management, product strategy, android, excel. Targeting a role in Product Management and Strategy. Focus area: Principal Product Manager - Software Platforms.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, product strategy, android, excel","Engineering student with skills in product management, excel."
"Engineering student in CSD with CGPA 6.5 out of 10. Skilled in Python, REST API, Docker, Git, MySQL, DSA. Has completed 4 projects and 1 internship(s). Targeting Backend and Server-side Development roles. Prefers mid-size product startup work environment.",SWE_BACKEND,synthetic_college,8,"Engineering student in CSD with CGPA 6.5 out of 10. Skilled in Python, REST API, Docker, Git, MySQL, DSA. Has completed 4 projects and 1 internship(s). Targeting Backend and Server-side Development roles. Prefers mid-size product startup work environment","Engineering student with skills in rest api, python, docker, mysql, git, dsa. CGPA 6.5."
"Engineering professional skilled in google cloud, spring boot, kubernetes, spring, agile, java, sql, gcp. Targeting a role in Backend and Server-side Development. Focus area: Java Software Engineer.",SWE_BACKEND,postings,8,"Engineering professional skilled in google cloud, spring boot, kubernetes, spring, agile, java, sql, gcp","Engineering student with skills in spring boot, kubernetes, spring, agile, java, sql, gcp."
Engineering professional skilled in ios. Targeting a role in Full Stack Web Development. Focus area: Ios Full Stack Develloper Training.,FULLSTACK_DEV,postings,6,Engineering professional skilled in ios,Engineering student. Engineering professional skilled in ios
"Engineering professional skilled in hadoop, azure, sql. Targeting a role in Data Engineering and Pipelines. Focus area: Senior Azure Data Engineer With Hadoop And Sql.",DATA_ENGINEER,postings,3,"Engineering professional skilled in hadoop, azure, sql","Engineering student with skills in hadoop, azure, sql."
"Engineering professional skilled in product management, project management. Targeting a role in Product Management and Strategy. Focus area: Project Manager With Sap Migration To S/4 Experience.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, project management","Engineering student with skills in product management, project management."
"Engineering professional skilled in cloud computing, asp.net, .net, aws, c#. Targeting a role in Backend and Server-side Development. Focus area: Senior Software Engineer Technical Lead.",SWE_BACKEND,postings,8,"Engineering professional skilled in cloud computing, asp.net, .net, aws, c#","Engineering student with skills in asp.net, aws, c#."
"Engineering professional skilled in product management, sql. Targeting a role in Product Management and Strategy. Focus area: Business System Analyst - With Product Owner Experience.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, sql","Engineering student with skills in product management, sql."
"Engineering professional skilled in typescript, reactjs, react. Targeting a role in Frontend and UI Development. Focus area: Sr Web Ui Engineer With 10 Years Need Only Locals F2F Is Must.",SWE_FRONTEND,postings,9,"Engineering professional skilled in typescript, reactjs, react","Engineering student with skills in typescript, react."
"Engineering professional skilled in javascript, restful, oracle, java, sql. Targeting a role in Full Stack Web Development. Focus area: Senior Full Stack Engineer.",FULLSTACK_DEV,postings,6,"Engineering professional skilled in javascript, restful, oracle, java, sql","Engineering student with skills in javascript, oracle, java, sql."
"Engineering professional skilled in agile, c++, tdd. Targeting a role in Backend and Server-side Development. Focus area: C Trading Systems Developer.",SWE_BACKEND,postings,8,"Engineering professional skilled in agile, c++, tdd","Engineering student with skills in agile, c++."
"Engineering professional skilled in product management, agile. Targeting a role in Product Management and Strategy. Focus area: Sr Principal Product Owner Safe 6 0.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, agile","Engineering student with skills in product management, agile."
"Engineering professional skilled in bigquery, gcp. Targeting a role in Data Engineering and Pipelines. Focus area: Staff Data Platform Engineer Gcp Bigquery.",DATA_ENGINEER,postings,3,"Engineering professional skilled in bigquery, gcp","Engineering student with skills in bigquery, gcp."
"Engineering professional skilled in react native, kubernetes, nodejs, react, azure. Targeting a role in Backend and Server-side Development. Focus area: Fullstack React/Nodejs Developer React Native Azure Hybrid W2 Profiles Only.",SWE_BACKEND,postings,8,"Engineering professional skilled in react native, kubernetes, nodejs, react, azure","Engineering student with skills in kubernetes, nodejs, react, azure."
"Engineering professional skilled in reactjs, restful, react, git. Targeting a role in Frontend and UI Development. Focus area: React Ui Developer.",SWE_FRONTEND,postings,9,"Engineering professional skilled in reactjs, restful, react, git","Engineering student with skills in react, git."
"Engineering professional skilled in golang, java, c++, c#. Targeting a role in Backend and Server-side Development. Focus area: Java Engineer.",SWE_BACKEND,postings,8,"Engineering professional skilled in golang, java, c++, c#","Engineering student with skills in golang, java, c++, c#."
"Engineering professional skilled in devops, react, azure, agile, scrum, css. Targeting a role in Backend and Server-side Development. Focus area: Software Engineer - Cms/Web Development.",SWE_BACKEND,postings,8,"Engineering professional skilled in devops, react, azure, agile, scrum, css","Engineering student with skills in devops, react, azure, agile, scrum, css."
"Engineering professional skilled in system design, unit testing, typescript, angular, agile, scrum, html, css. Targeting a role in Frontend and UI Development. Focus area: Angular Ui Developer.",SWE_FRONTEND,postings,9,"Engineering professional skilled in system design, unit testing, typescript, angular, agile, scrum, html, css","Engineering student with skills in system design, typescript, angular, agile, scrum, html, css."
"Engineering professional skilled in devops, spark. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Devops Architect/Sre Architect Remote/Oaklnad Ca.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in devops, spark","Engineering student with skills in devops, spark."
Engineering professional skilled in linux. Targeting a role in Backend and Server-side Development. Focus area: Senior Software Engineer Ii Linux Performance - Remote.,SWE_BACKEND,postings,8,Engineering professional skilled in linux,Engineering student with experience in linux.
Engineering graduate in Science and Technology with CGPA 7.2 out of 10. Specialised in Marketing and Finance. No prior work experience. Targeting Data Analytics and Business Intelligence roles.,DATA_ANALYST,placement,2,Engineering graduate in Science and Technology with CGPA 7.2 out of 10. Specialised in Marketing and Finance. No prior work experience. Targeting Data Analytics and Business Intelligence roles,Engineering student. Engineering graduate in Science and Technology with CGPA 7.2 out of 10. Specialised in Marketing and Finance. No prior work experience. Targeting Data Analytics and Business Intelligence roles CGPA 7.2.
"Engineering professional skilled in agile, aws. Targeting a role in Data Engineering and Pipelines. Focus area: Manager Aws Data Engineer.",DATA_ENGINEER,postings,3,"Engineering professional skilled in agile, aws","Engineering student with skills in agile, aws."
"Engineering professional skilled in product management, agile, scrum. Targeting a role in Product Management and Strategy. Focus area: Agile Scrum Master.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, agile, scrum","Engineering student with skills in product management, agile, scrum."
"Engineering professional skilled in information security, cybersecurity, go. Targeting a role in Cybersecurity and Information Security. Focus area: Cybersecurity Business Development Manager.",CYBERSECURITY,postings,1,"Engineering professional skilled in information security, cybersecurity, go","Engineering student with skills in information security, cybersecurity, go."
"Engineering professional skilled in information security, cybersecurity, scrum. Targeting a role in Cybersecurity and Information Security. Focus area: Cybersecurity Tools Manager.",CYBERSECURITY,postings,1,"Engineering professional skilled in information security, cybersecurity, scrum","Engineering student with skills in information security, cybersecurity, scrum."
"Engineering professional skilled in data analytics, reporting, tableau, gitlab. Targeting a role in Data Analytics and Business Intelligence. Focus area: Business Intelligence Administrator Tableau.",DATA_ANALYST,postings,2,"Engineering professional skilled in data analytics, reporting, tableau, gitlab",Engineering student with experience in tableau.
"Engineering professional skilled in kotlin, scala, java. Targeting a role in Backend and Server-side Development. Focus area: Software Engineer - Backend.",SWE_BACKEND,postings,8,"Engineering professional skilled in kotlin, scala, java","Engineering student with skills in kotlin, scala, java."
"Engineering student in CSD with CGPA 7.9 out of 10. Skilled in SQL, Excel (advanced), Data Analysis, Python, Tableau, Power BI. Has completed 4 projects and 2 internship(s). Targeting Data Analytics and Business Intelligence roles. Prefers large product company (faang / top tech) work environment.",DATA_ANALYST,synthetic_college,2,"Engineering student in CSD with CGPA 7.9 out of 10. Skilled in SQL, Excel (advanced), Data Analysis, Python, Tableau, Power BI. Has completed 4 projects and 2 internship(s). Targeting Data Analytics and Business Intelligence roles. Prefers large product company (faang / top tech) work environment","Engineering student with skills in data analysis, power bi, tableau, python, excel, sql. CGPA 7.9."
"Engineering professional skilled in devops, ci/cd, agile, .net, git, c#. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Net Build Engineer.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in devops, ci/cd, agile, .net, git, c#","Engineering student with skills in devops, ci/cd, agile, git, c#."
"Engineering professional skilled in restful api, react.js, rest api, angular, restful, react. Targeting a role in Frontend and UI Development. Focus area: Ui Developer- React Angular Restful Api.",SWE_FRONTEND,postings,9,"Engineering professional skilled in restful api, react.js, rest api, angular, restful, react","Engineering student with skills in rest api, angular, react."
"Engineering professional skilled in project management, laravel, php. Targeting a role in Backend and Server-side Development. Focus area: Php Developer.",SWE_BACKEND,postings,8,"Engineering professional skilled in project management, laravel, php","Engineering student with skills in project management, laravel, php."
"Engineering professional skilled in data analytics, reporting, power bi, azure, excel. Targeting a role in Data Analytics and Business Intelligence. Focus area: Power Bi Business Analyst.",DATA_ANALYST,postings,2,"Engineering professional skilled in data analytics, reporting, power bi, azure, excel","Engineering student with skills in power bi, azure, excel."
"Engineering professional skilled in product management, go. Targeting a role in Product Management and Strategy. Focus area: Only Id Consultants Project Manager Nampa Id Onsite Role 4 Days A Week Working Contract Opportunity.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, go","Engineering student with skills in product management, go."
Engineering graduate in Science and Technology with CGPA 7.8 out of 10. Specialised in Marketing and Human Resources. Has prior work experience. Targeting Product Management and Strategy roles.,PRODUCT_MANAGER,placement,7,Engineering graduate in Science and Technology with CGPA 7.8 out of 10. Specialised in Marketing and Human Resources. Has prior work experience. Targeting Product Management and Strategy roles,Engineering student with experience in product management. CGPA 7.8.
"Engineering professional skilled in design patterns, spring boot, restful, python, django, spring, react, flask. Targeting a role in Full Stack Web Development. Focus area: Python React Full Stack Developer.",FULLSTACK_DEV,postings,6,"Engineering professional skilled in design patterns, spring boot, restful, python, django, spring, react, flask","Engineering student with skills in design patterns, spring boot, python, django, spring, react, flask."
"Engineering professional skilled in python, java. Targeting a role in Backend and Server-side Development. Focus area: Software Developer Java/C /Python - Quantitative Engineering - One Delta Shares - Gbm Public.",SWE_BACKEND,postings,8,"Engineering professional skilled in python, java","Engineering student with skills in python, java."
"Engineering professional skilled in project management, jquery, oracle, react, html, css, sql. Targeting a role in Data Engineering and Pipelines. Focus area: Senior Pl/Sql Developer.",DATA_ENGINEER,postings,3,"Engineering professional skilled in project management, jquery, oracle, react, html, css, sql","Engineering student with skills in project management, jquery, oracle, react, html, css, sql."
"Engineering professional skilled in devops, azure. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Iis Middleware/Winforms/Azure Devops Admin.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in devops, azure","Engineering student with skills in devops, azure."
Engineering professional skilled in data pipeline. Targeting a role in Data Engineering and Pipelines. Focus area: Cloud Data Engineer.,DATA_ENGINEER,postings,3,Engineering professional skilled in data pipeline,Engineering student. Engineering professional skilled in data pipeline
"Engineering professional skilled in machine learning, agile. Targeting a role in AI and Machine Learning. Focus area: It Portfolio Management Analyst Ii.",AIML_ENGINEER,postings,0,"Engineering professional skilled in machine learning, agile","Engineering student with skills in machine learning, agile."
Engineering professional skilled in express. Targeting a role in Backend and Server-side Development. Focus area: Senior Staff Engineer - Uscdt.,SWE_BACKEND,postings,8,Engineering professional skilled in express,Engineering student with experience in express.
Engineering graduate in Commerce and Management with CGPA 6.1 out of 10. Specialised in Marketing and Human Resources. No prior work experience. Targeting Product Management and Strategy roles.,PRODUCT_MANAGER,placement,7,Engineering graduate in Commerce and Management with CGPA 6.1 out of 10. Specialised in Marketing and Human Resources. No prior work experience. Targeting Product Management and Strategy roles,Engineering student with experience in product management. CGPA 6.1.
"Engineering professional skilled in microservices, spring boot, rest api, restful, spring, java. Targeting a role in Backend and Server-side Development. Focus area: Full Stack Java Developer.",SWE_BACKEND,postings,8,"Engineering professional skilled in microservices, spring boot, rest api, restful, spring, java","Engineering student with skills in spring boot, rest api, spring, java."
Engineering graduate in Science and Technology with CGPA 5.8 out of 10. Specialised in Marketing and Human Resources. No prior work experience. Targeting Product Management and Strategy roles.,PRODUCT_MANAGER,placement,7,Engineering graduate in Science and Technology with CGPA 5.8 out of 10. Specialised in Marketing and Human Resources. No prior work experience. Targeting Product Management and Strategy roles,Engineering student with experience in product management. CGPA 5.8.
"Engineering professional skilled in natural language processing, machine learning, nlp. Targeting a role in AI and Machine Learning. Focus area: Natural Language Processing Engineer.",AIML_ENGINEER,postings,0,"Engineering professional skilled in natural language processing, machine learning, nlp","Engineering student with skills in machine learning, natural language, nlp."
"Engineering professional skilled in embedded c, python, linux, c++, iot, arm. Targeting a role in Embedded Systems and IoT. Focus area: Embedded Architect With Pm.",EMBEDDED_IOT,postings,5,"Engineering professional skilled in embedded c, python, linux, c++, iot, arm","Engineering student with skills in embedded c, python, linux, c++."
"Engineering professional skilled in data structures, algorithms, linux, scrum. Targeting a role in Backend and Server-side Development. Focus area: C Linux Software Engineer.",SWE_BACKEND,postings,8,"Engineering professional skilled in data structures, algorithms, linux, scrum","Engineering student with skills in data structures, algorithms, linux, scrum."
Engineering graduate in Commerce and Management with CGPA 6.4 out of 10. Specialised in Marketing and Human Resources. No prior work experience. Targeting Product Management and Strategy roles.,PRODUCT_MANAGER,placement,7,Engineering graduate in Commerce and Management with CGPA 6.4 out of 10. Specialised in Marketing and Human Resources. No prior work experience. Targeting Product Management and Strategy roles,Engineering student with experience in product management. CGPA 6.4.
"Engineering professional skilled in google cloud, kubernetes, devops, gcp. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Google Cloud Application Architect.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in google cloud, kubernetes, devops, gcp","Engineering student with skills in kubernetes, devops, gcp."
"Engineering professional skilled in information security, cybersecurity, linux. Targeting a role in Cybersecurity and Information Security. Focus area: Systems And Identity Management Engineer Infosec.",CYBERSECURITY,postings,1,"Engineering professional skilled in information security, cybersecurity, linux","Engineering student with skills in information security, cybersecurity, linux."
"Engineering professional skilled in snowflake, postgres, mongodb, jenkins, python, oracle, devops, azure. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Endure Devops Engineer.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in snowflake, postgres, mongodb, jenkins, python, oracle, devops, azure","Engineering student with skills in snowflake, mongodb, jenkins, python, oracle, devops, azure."
"Engineering professional skilled in machine learning, algorithms, devops. Targeting a role in AI and Machine Learning. Focus area: Sr Genai / Machine Learning Engineer.",AIML_ENGINEER,postings,0,"Engineering professional skilled in machine learning, algorithms, devops","Engineering student with skills in machine learning, algorithms, devops."
"Engineering professional skilled in devops, linux. Targeting a role in DevOps and Cloud Infrastructure. Focus area: Lead Red Hat Enterprise Linux Rhel /Cloud Engineer.",DEVOPS_CLOUD,postings,4,"Engineering professional skilled in devops, linux","Engineering student with skills in devops, linux."
"Engineering professional skilled in project management, devops, azure, ci/cd, sql, c#. Targeting a role in Full Stack Web Development. Focus area: Net Full-Stack Developer - Blazor - Mainframe - Winforms W2 Contract.",FULLSTACK_DEV,postings,6,"Engineering professional skilled in project management, devops, azure, ci/cd, sql, c#","Engineering student with skills in project management, devops, azure, ci/cd, sql, c#."
Engineering professional skilled in react. Targeting a role in Backend and Server-side Development. Focus area: Sr Software Engineer - Salesforce And React.,SWE_BACKEND,postings,8,Engineering professional skilled in react,Engineering student with experience in react.
"Engineering professional skilled in terraform, postgres, devops, sql. Targeting a role in Data Engineering and Pipelines. Focus area: Devops Engineer Sql Server Database Administrator.",DATA_ENGINEER,postings,3,"Engineering professional skilled in terraform, postgres, devops, sql","Engineering student with skills in terraform, devops, sql."
"Engineering professional skilled in product management, devops. Targeting a role in Product Management and Strategy. Focus area: Product Manager For Cdp Customer Data Platform.",PRODUCT_MANAGER,postings,7,"Engineering professional skilled in product management, devops","Engineering student with skills in product management, devops."
"Engineering professional skilled in shell script, cassandra, dashboard, python, apache, aws. Targeting a role in Data Engineering and Pipelines. Focus area: Datastax/Cassandra Dba.",DATA_ENGINEER,postings,3,"Engineering professional skilled in shell script, cassandra, dashboard, python, apache, aws","Engineering student with skills in cassandra, python, aws."
"Engineering professional skilled in data visualization, data analytics. Targeting a role in Data Analytics and Business Intelligence. Focus area: Analyst Program Insights Data Visualization.",DATA_ANALYST,postings,2,"Engineering professional skilled in data visualization, data analytics","Engineering student. Engineering professional skilled in data visualization, data analytics"
"Engineering professional skilled in angular, c#. Targeting a role in Backend and Server-side Development. Focus area: Senior Principal Software Engineer.",SWE_BACKEND,postings,8,"Engineering professional skilled in angular, c#","Engineering student with skills in angular, c#."
"Engineering professional skilled in javascript, spring, agile, scrum, java, html, git. Targeting a role in Backend and Server-side Development. Focus area: Sr Software Developer.",SWE_BACKEND,postings,8,"Engineering professional skilled in javascript, spring, agile, scrum, java, html, git","Engineering student with skills in javascript, spring, agile, scrum, java, html, git."
Engineering professional skilled in reporting. Targeting a role in Data Engineering and Pipelines. Focus area: Geospatial Data Engineer Ii.,DATA_ENGINEER,postings,3,Engineering professional skilled in reporting,Engineering student. Engineering professional skilled in reporting
"Engineering professional skilled in javascript, angular. Targeting a role in Frontend and UI Development. Focus area: Frontend Developer Javascript/Angular.",SWE_FRONTEND,postings,9,"Engineering professional skilled in javascript, angular","Engineering student with skills in javascript, angular."
"Engineering professional skilled in product management, machine learning. Targeting a role in AI and Machine Learning. Focus area: R D Analyst Ii.",AIML_ENGINEER,postings,0,"Engineering professional skilled in product management, machine learning","Engineering student with skills in product management, machine learning."
"Engineering professional skilled in information security, cybersecurity, oracle. Targeting a role in Cybersecurity and Information Security. Focus area: Oracle Cloud Erp Application Security Specialist 16147.",CYBERSECURITY,postings,1,"Engineering professional skilled in information security, cybersecurity, oracle","Engineering student with skills in information security, cybersecurity, oracle."
"Engineering professional skilled in data analysis, etl, sql, aws. Targeting a role in Data Engineering and Pipelines. Focus area: Data Engineer Informatica / Snaplogic/ Sql.",DATA_ENGINEER,postings,3,"Engineering professional skilled in data analysis, etl, sql, aws","Engineering student with skills in data analysis, sql, aws."
Engineering professional skilled in c++. Targeting a role in Backend and Server-side Development. Focus area: Backend Software Engineer.,SWE_BACKEND,postings,8,Engineering professional skilled in c++,Engineering student with experience in c++.
"Engineering professional skilled in algorithms, reporting, python. Targeting a role in Backend and Server-side Development. Focus area: Python Software Engineer.",SWE_BACKEND,postings,8,"Engineering professional skilled in algorithms, reporting, python","Engineering student with skills in algorithms, python."
"Engineering professional skilled in data analytics, data warehouse, data analysis, reporting, power bi, azure, excel, sql. Targeting a role in Data Analytics and Business Intelligence. Focus area: Business Intelligence Consultant.",DATA_ANALYST,postings,2,"Engineering professional skilled in data analytics, data warehouse, data analysis, reporting, power bi, azure, excel, sql","Engineering student with skills in data analysis, power bi, azure, excel, sql."
"Engineering student in CSE with CGPA 7.9 out of 10. Skilled in Linux, Docker, Git, Python, Kubernetes, AWS. Has completed 4 projects and 2 internship(s). Targeting DevOps and Cloud Infrastructure roles. Prefers service-based company work environment.",DEVOPS_CLOUD,synthetic_college,4,"Engineering student in CSE with CGPA 7.9 out of 10. Skilled in Linux, Docker, Git, Python, Kubernetes, AWS. Has completed 4 projects and 2 internship(s). Targeting DevOps and Cloud Infrastructure roles. Prefers service-based company work environment","Engineering student with skills in kubernetes, python, docker, devops, linux, aws, git. CGPA 7.9."
Engineering professional skilled in go. Targeting a role in Backend and Server-side Development. Focus area: Adobe Multi-Solution Lead Developer.,SWE_BACKEND,postings,8,Engineering professional skilled in go,Engineering student with experience in go.
"Engineering professional skilled in databricks, airflow, python, hadoop, oracle, spark, kafka, flink. Targeting a role in Data Engineering and Pipelines. Focus area: Big Data Engineer Java Python Aws.",DATA_ENGINEER,postings,3,"Engineering professional skilled in databricks, airflow, python, hadoop, oracle, spark, kafka, flink","Engineering student with skills in databricks, airflow, python, oracle, hadoop, spark, kafka, flink."
"Engineering student in CSD with CGPA 5.9 out of 10. Skilled in Python, REST API, Linux, MySQL, Git, FastAPI. Has completed 6 projects and 2 internship(s). Targeting Backend and Server-side Development roles. Prefers mid-size product startup work environment.",SWE_BACKEND,synthetic_college,8,"Engineering student in CSD with CGPA 5.9 out of 10. Skilled in Python, REST API, Linux, MySQL, Git, FastAPI. Has completed 6 projects and 2 internship(s). Targeting Backend and Server-side Development roles. Prefers mid-size product startup work environment","Engineering student with skills in rest api, fastapi, python, mysql, linux, git. CGPA 5.9."
Engineering graduate in Commerce and Management with CGPA 6.7 out of 10. Specialised in Marketing and Finance. Has prior work experience. Targeting Data Analytics and Business Intelligence roles.,DATA_ANALYST,placement,2,Engineering graduate in Commerce and Management with CGPA 6.7 out of 10. Specialised in Marketing and Finance. Has prior work experience. Targeting Data Analytics and Business Intelligence roles,Engineering student. Engineering graduate in Commerce and Management with CGPA 6.7 out of 10. Specialised in Marketing and Finance. Has prior work experience. Targeting Data Analytics and Business Intelligence roles CGPA 6.7.
"Engineering professional skilled in natural language processing, machine learning, deep learning, transformers, kubernetes, python, docker, spark. Targeting a role in AI and Machine Learning. Focus area: Data Scientist - Transformers - 100 Remote.",AIML_ENGINEER,postings,0,"Engineering professional skilled in natural language processing, machine learning, deep learning, transformers, kubernetes, python, docker, spark","Engineering student with skills in machine learning, natural language, deep learning, transformers, kubernetes, python, docker, spark."
"Engineering professional skilled in continuous integration, machine learning, deep learning, python, django, flask, kafka, ci/cd. Targeting a role in Backend and Server-side Development. Focus area: Python Developer With Django Flask.",SWE_BACKEND,postings,8,"Engineering professional skilled in continuous integration, machine learning, deep learning, python, django, flask, kafka, ci/cd","Engineering student with skills in machine learning, deep learning, python, django, flask, kafka, ci/cd."
Engineering professional skilled in classification. Targeting a role in Backend and Server-side Development. Focus area: Staff Engineer - Utilities.,SWE_BACKEND,postings,8,Engineering professional skilled in classification,Engineering student. Engineering professional skilled in classification
"Engineering professional skilled in python, fpga, c++, iot. Targeting a role in Embedded Systems and IoT. Focus area: Nyc High Frequency Trading Fpga Engineer 150-300 K Bonus.",EMBEDDED_IOT,postings,5,"Engineering professional skilled in python, fpga, c++, iot","Engineering student with skills in python, fpga, c++."
"Engineering professional skilled in microservices, oracle, kafka, java, .net, unix, sql, git. Targeting a role in Backend and Server-side Development. Focus area: Java Developer.",SWE_BACKEND,postings,8,"Engineering professional skilled in microservices, oracle, kafka, java, .net, unix, sql, git","Engineering student with skills in oracle, kafka, java, sql, git."
"Engineering professional skilled in machine learning, data science, python, pandas, sql. Targeting a role in AI and Machine Learning. Focus area: Remote Opportunity For P C Insurance Data Scientist/Actuary - Pr12690A.",AIML_ENGINEER,postings,0,"Engineering professional skilled in machine learning, data science, python, pandas, sql","Engineering student with skills in machine learning, data science, python, pandas, sql."
